scenorio,truck,gross,net,fromid,toid
1,11t,0.13730987,0.085849869,85,59
1,CNTR,0.631133073,0.36242713,34,80
1,11t,0.772085788,0.481729565,92,80
1,11t,0.705005867,0.463269802,92,85
1,11t,0.809518528,0.48164642,33,85
1,11t,0.786114798,0.466091738,33,81
1,11t,0.84669272,0.651377779,80,71
1,11t,0.793529528,0.605794199,80,41
1,11t,0.94939401,0.750468123,80,54
1,11t,0.855987057,0.70754496,80,44
1,11t,1.150219146,0.889397678,80,47
1,11t,0.906518161,0.734039085,80,88
1,11t,0.763441414,0.593055114,80,60
1,11t,1.027937963,0.825953672,80,49
1,11t,0.857724844,0.669453716,80,62
1,11t,0.957650429,0.774658633,80,66
1,11t,0.873534689,0.669208201,80,90
1,11t,0.85499086,0.686094645,80,69
1,11t,0.857962901,0.674320497,80,70
1,11t,0.845026736,0.676613128,80,48
1,5t,1.632544255,1.271244179,80,40
1,11t,1.324977628,1.000143789,80,50
1,11t,0.895835017,0.722206703,80,58
1,11t,0.924068481,0.709866091,80,78
1,11t,0.59859096,0.442506008,80,46
1,11t,0.834288524,0.642345067,80,76
1,11t,0.84171425,0.668807572,80,55
1,11t,0.690527983,0.553866236,80,61
1,11t,0.799276546,0.663095887,80,75
1,CNTR,0.669553013,0.434276753,80,85
1,CNTR,0.745351558,0.490992578,80,85
1,CNTR,0.724114626,0.486737859,80,85
1,11t,1.04918018,0.631444183,96,85
1,11t,0.796926221,0.429014328,81,85
1,11t,0.743961885,0.472676396,33,80
1,1t,3.359493029,2.228085371,33,44
1,11t,0.654901357,0.407776685,96,81
1,11t,0.576242495,0.38383371,96,81
1,CNTR,0.584428533,0.449806411,34,85
1,CNTR,0.627367982,0.487584783,34,85
1,11t,0.76587879,0.419647533,81,69
1,11t,0.732508839,0.4183621,81,75
1,11t,0.406489972,0.216765521,81,41
1,11t,0.730930634,0.405075563,81,54
1,11t,0.78385081,0.454002431,81,46
1,11t,0.958037349,0.539316071,81,49
1,11t,0.802421644,0.444933961,81,47
1,11t,0.776432483,0.439065008,81,58
1,11t,0.594205292,0.332705965,81,40
1,11t,0.751387107,0.421170499,81,44
1,11t,0.607815993,0.329599146,81,78
1,11t,0.832136426,0.465991207,81,50
1,11t,0.368721106,0.204805132,81,62
1,11t,0.568811449,0.298201833,81,61
1,11t,0.542266443,0.297653637,81,55
1,11t,0.504971083,0.271929575,81,70
1,11t,0.850173461,0.471736841,81,66
1,11t,0.629203076,0.363936047,81,60
1,11t,0.551858327,0.307265666,81,89
1,11t,0.545972731,0.317359327,81,90
1,11t,0.711261406,0.393398951,81,48
1,11t,0.39171048,0.210080633,81,71
1,11t,0.440260921,0.239964069,81,76
1,11t,0.584398203,0.334999973,81,88
1,11t,0.541047694,0.430536983,80,89
1,11t,0.830064938,0.613989621,92,80
1,11t,0.806603934,0.535162419,33,81
1,CNTR,0.650093628,0.394694046,33,80
1,11t,0.531520088,0.310833191,96,81
1,CNTR,0.637287149,0.524888843,34,85
1,11t,0.633905578,0.38651987,96,81
1,11t,0.933041914,0.485597858,81,85
1,CNTR,0.645095347,0.530488815,34,85
1,11t,0.45795059,0.260765919,96,81
1,11t,0.769257721,0.46409496,33,85
1,CNTR,0.676802131,0.562721466,34,85
