truck,fromid,toid,fee,gross,net,scenorio
11t,85,59,220900,0.13730987,0.085849869,Actual
CNTR,34,80,325000,0.631133073,0.36242713,Actual
11t,101,80,119000,0.772085788,0.481729565,Actual
11t,101,85,262200,0.705005867,0.463269802,Actual
11t,33,85,271000,0.809518528,0.48164642,Actual
11t,33,81,151000,0.786114798,0.466091738,Actual
11t,80,71,155000,0.84669272,0.651377779,Actual
11t,80,41,150000,0.793529528,0.605794199,Actual
11t,80,54,150000,0.94939401,0.750468123,Actual
11t,80,44,138000,0.855987057,0.70754496,Actual
11t,80,47,138000,1.150219146,0.889397678,Actual
11t,80,88,140000,0.906518161,0.734039085,Actual
11t,80,60,155000,0.763441414,0.593055114,Actual
11t,80,49,154000,1.027937963,0.825953672,Actual
11t,80,62,134000,0.857724844,0.669453716,Actual
11t,80,66,155000,0.957650429,0.774658633,Actual
11t,80,90,160000,0.873534689,0.669208201,Actual
11t,80,69,150000,0.85499086,0.686094645,Actual
11t,80,70,155000,0.857962901,0.674320497,Actual
11t,80,48,155000,0.845026736,0.676613128,Actual
5t,80,40,108000,1.632544255,1.271244179,Actual
11t,80,50,150000,1.324977628,1.000143789,Actual
11t,80,58,150000,0.895835017,0.722206703,Actual
11t,80,78,134000,0.924068481,0.709866091,Actual
11t,80,46,167000,0.59859096,0.442506008,Actual
11t,80,76,155000,0.834288524,0.642345067,Actual
11t,80,55,127000,0.84171425,0.668807572,Actual
11t,80,61,150000,0.690527983,0.553866236,Actual
11t,80,75,150000,0.799276546,0.663095887,Actual
CNTR,80,85,312000,0.669553013,0.434276753,Actual
CNTR,80,85,312000,0.745351558,0.490992578,Actual
CNTR,80,85,312000,0.724114626,0.486737859,Actual
11t,32,85,312000,1.04918018,0.631444183,Actual
11t,81,85,312000,0.796926221,0.429014328,Actual
11t,33,80,139000,0.743961885,0.472676396,Actual
1t,33,44,45000,3.359493029,2.228085371,Actual
11t,32,81,NA,0.654901357,0.407776685,Actual
11t,32,81,NA,0.576242495,0.38383371,Actual
CNTR,34,85,0,0.584428533,0.449806411,Actual
CNTR,34,85,0,0.627367982,0.487584783,Actual
11t,81,69,135000,0.76587879,0.419647533,Actual
11t,81,75,135000,0.732508839,0.4183621,Actual
