id,type,name
32,HUB,INC1
33,HUB,SEOUL
34,HUB,DAEGU
40,CAMP,송파1
41,CAMP,구리1
42,CAMP,부산2
43,CAMP,대전2
44,CAMP,송파2
46,CAMP,김포1
47,CAMP,서초1
48,CAMP,일산1
49,CAMP,도봉1
50,CAMP,시흥1
51,CAMP,광주1
52,CAMP,대구2
53,CAMP,울산1
54,CAMP,구리2
55,CAMP,용인1
57,CAMP,광주2
58,CAMP,성동1
59,CAMP,부산4
60,CAMP,인천3
61,CAMP,영등포1
62,CAMP,안양1
63,CAMP,울산2
64,CAMP,대구1
65,CAMP,청주1
66,CAMP,인천2
67,CAMP,대전1
68,CAMP,부산3
69,CAMP,강서1
70,CAMP,인천1
71,CAMP,일산2
72,CAMP,경산1
73,CAMP,김해1
74,CAMP,구미1
75,CAMP,구로1
76,CAMP,일산3
77,CAMP,부산1
78,CAMP,수원1
80,HUB,DEO1
81,HUB,INC4
83,CAMP,전주1
85,HUB,CHIL
86,CAMP,창원1
88,CAMP,화성1
89,CAMP,인천4
90,CAMP,인천5
91,CAMP,청주2
101,HUB,KKW
102,HUB,VNH
104,HUB,DEO1_RH
-1,HUB,ALL
