fromid,toid,edgeid
32,42,1
32,43,2
32,51,3
32,52,4
32,53,5
32,57,6
32,59,7
32,63,8
32,64,9
32,65,10
32,67,11
32,68,12
32,72,13
32,73,14
32,74,15
32,77,16
32,83,17
32,86,18
32,42,104-78
32,43,104-79
32,51,104-80
32,52,104-81
32,53,104-82
32,57,104-83
32,59,104-84
32,63,104-85
32,64,104-86
32,65,104-87
32,67,104-88
32,68,104-89
32,72,104-90
32,73,104-91
32,74,104-92
32,77,104-93
32,83,104-94
32,86,104-95
32,40,102-52
32,41,102-53
32,44,102-54
32,46,102-55
32,47,102-56
32,48,102-57
32,49,102-58
32,50,102-59
32,54,102-60
32,55,102-61
32,58,102-62
32,60,102-63
32,61,102-64
32,62,102-65
32,66,102-66
32,69,102-67
32,70,102-68
32,71,102-69
32,75,102-70
32,76,102-71
32,78,102-72
32,88,102-74
32,89,102-75
32,90,102-76
32,91,102-77
33,42,22-78
33,43,22-79
33,51,22-80
33,52,22-81
33,53,22-82
33,57,22-83
33,59,22-84
33,63,22-85
33,64,22-86
33,65,22-87
33,67,22-88
33,68,22-89
33,72,22-90
33,73,22-91
33,74,22-92
33,77,22-93
33,83,22-94
33,86,22-95
33,40,20-25
33,41,20-26
33,44,19
33,46,20-28
33,47,20-29
33,48,20-30
33,49,20-31
33,50,20-32
33,54,20-33
33,55,20-34
33,58,20-35
33,60,20-36
33,61,20-37
33,62,20-38
33,66,20-39
33,69,20-40
33,70,20-41
33,71,20-42
33,75,20-43
33,76,20-44
33,78,20-45
33,88,20-47
33,89,20-48
33,90,20-49
33,91,20-50
34,40,23-25
34,41,23-26
34,44,23-27
34,46,23-28
34,47,23-29
34,48,23-30
34,49,23-31
34,50,23-32
34,54,23-33
34,55,23-34
34,58,23-35
34,60,23-36
34,61,23-37
34,62,23-38
34,66,23-39
34,69,23-40
34,70,23-41
34,71,23-42
34,75,23-43
34,76,23-44
34,78,23-45
34,88,23-47
34,89,23-48
34,90,23-49
34,91,23-50
34,42,24-78
34,43,24-79
34,51,24-80
34,52,24-81
34,53,24-82
34,57,24-83
34,59,24-84
34,63,24-85
34,64,24-86
34,65,24-87
34,67,24-88
34,68,24-89
34,72,24-90
34,73,24-91
34,74,24-92
34,77,24-93
34,83,24-94
34,86,24-95
80,40,25
80,41,26
80,44,27
80,46,28
80,47,29
80,48,30
80,49,31
80,50,32
80,54,33
80,55,34
80,58,35
80,60,36
80,61,37
80,62,38
80,66,39
80,69,40
80,70,41
80,71,42
80,75,43
80,76,44
80,78,45
80,88,47
80,89,48
80,90,49
80,91,50
80,42,46-78
80,43,46-79
80,51,46-80
80,52,46-81
80,53,46-82
80,57,46-83
80,59,46-84
80,63,46-85
80,64,46-86
80,65,46-87
80,67,46-88
80,68,46-89
80,72,46-90
80,73,46-91
80,74,46-92
80,77,46-93
80,83,46-94
80,86,46-95
81,40,52
81,41,53
81,44,54
81,46,55
81,47,56
81,48,57
81,49,58
81,50,59
81,54,60
81,55,61
81,58,62
81,60,63
81,61,64
81,62,65
81,66,66
81,69,67
81,70,68
81,71,69
81,75,70
81,76,71
81,78,72
81,88,74
81,89,75
81,90,76
81,91,77
81,42,73-78
81,43,73-79
81,51,73-80
81,52,73-81
81,53,73-82
81,57,73-83
81,59,73-84
81,63,73-85
81,64,73-86
81,65,73-87
81,67,73-88
81,68,73-89
81,72,73-90
81,73,73-91
81,74,73-92
81,77,73-93
81,83,73-94
81,86,73-95
81,42,51-1
81,43,51-2
81,51,51-3
81,52,51-4
81,53,51-5
81,57,51-6
81,59,51-7
81,63,51-8
81,64,51-9
81,65,51-10
81,67,51-11
81,68,51-12
81,72,51-13
81,73,51-14
81,74,51-15
81,77,51-16
81,83,51-17
81,86,51-18
101,40,96-25
101,41,96-26
101,44,96-27
101,46,96-28
101,47,96-29
101,48,96-30
101,49,96-31
101,50,96-32
101,54,96-33
101,55,96-34
101,58,96-35
101,60,96-36
101,61,96-37
101,62,96-38
101,66,96-39
101,69,96-40
101,70,96-41
101,71,96-42
101,75,96-43
101,76,96-44
101,78,96-45
101,88,96-47
101,89,96-48
101,90,96-49
101,91,96-50
101,42,97-78
101,43,97-79
101,51,97-80
101,52,97-81
101,53,97-82
101,57,97-83
101,59,97-84
101,63,97-85
101,64,97-86
101,65,97-87
101,67,97-88
101,68,97-89
101,72,97-90
101,73,97-91
101,74,97-92
101,77,97-93
101,83,97-94
101,86,97-95
102,40,98-25
102,41,98-26
102,44,98-27
102,46,98-28
102,47,98-29
102,48,98-30
102,49,98-31
102,50,98-32
102,54,98-33
102,55,98-34
102,58,98-35
102,60,98-36
102,61,98-37
102,62,98-38
102,66,98-39
102,69,98-40
102,70,98-41
102,71,98-42
102,75,98-43
102,76,98-44
102,78,98-45
102,88,98-47
102,89,98-48
102,90,98-49
102,91,98-50
102,42,99-78
102,43,99-79
102,51,99-80
102,52,99-81
102,53,99-82
102,57,99-83
102,59,99-84
102,63,99-85
102,64,99-86
102,65,99-87
102,67,99-88
102,68,99-89
102,72,99-90
102,73,99-91
102,74,99-92
102,77,99-93
102,83,99-94
102,86,99-95
